LOCALITA;DATA;TMEDIA 째C;TMIN 째C;TMAX 째C;PUNTORUGIADA 째C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/9/2019;;;;;;;;;;;;;
Milano;2/9/2019;;;;;;;;;;;;;
Milano;3/9/2019;;;;;;;;;;;;;
Milano;4/9/2019;;;;;;;;;;;;;
Milano;5/9/2019;;;;;;;;;;;;;
Milano;6/9/2019;;;;;;;;;;;;;
Milano;7/9/2019;;;;;;;;;;;;;
Milano;8/9/2019;;;;;;;;;;;;;
Milano;9/9/2019;;;;;;;;;;;;;
Milano;10/9/2019;;;;;;;;;;;;;
Milano;11/9/2019;;;;;;;;;;;;;
Milano;12/9/2019;;;;;;;;;;;;;
Milano;13/9/2019;;;;;;;;;;;;;
Milano;14/9/2019;;;;;;;;;;;;;
Milano;15/9/2019;;;;;;;;;;;;;
Milano;16/9/2019;;;;;;;;;;;;;
Milano;17/9/2019;;;;;;;;;;;;;
Milano;18/9/2019;;;;;;;;;;;;;
Milano;19/9/2019;;;;;;;;;;;;;
Milano;20/9/2019;;;;;;;;;;;;;
Milano;21/9/2019;;;;;;;;;;;;;
Milano;22/9/2019;;;;;;;;;;;;;
Milano;23/9/2019;;;;;;;;;;;;;
Milano;24/9/2019;;;;;;;;;;;;;
Milano;25/9/2019;;;;;;;;;;;;;
Milano;26/9/2019;;;;;;;;;;;;;
Milano;27/9/2019;;;;;;;;;;;;;
Milano;28/9/2019;;;;;;;;;;;;;
Milano;29/9/2019;;;;;;;;;;;;;
Milano;30/9/2019;;;;;;;;;;;;;
